invoice_no,Quantity,Revenue,segment
536365,40,139.12,2
536366,12,22.2,2
536367,49,204.75,2
536368,15,70.05,2
536369,3,17.85,2
536370,362,737.6600000000001,0
536372,12,22.2,2
536373,88,259.86,2
536375,88,259.86,2
536377,12,22.2,2
536378,190,298.1,2
536380,24,34.8,2
536381,162,411.82,2
536382,76,210.5,2
536384,52,185.3,2
536385,50,93.9,2
536388,108,226.14000000000001,2
536389,95,256.25,2
536390,108,386.76,2
536392,102,153.14,2
536394,80,172.68,2
536395,132,252.2,2
536396,100,304.86,2
536397,12,55.8,2
536398,144,375.56,2
536399,12,22.2,2
536400,12,17.4,2
536401,119,296.78000000000003,2
536404,402,440.7,0
536406,94,281.64,2
536407,12,22.2,2
536408,456,722.8100000000001,0
536409,141,226.15,2
536412,193,413.66,2
536415,222,339.79,2
536416,30,56.1,2
536420,111,233.45,2
536423,78,303.9,2
536425,133,322.65,2
536446,241,337.65,2
536460,158,295.54,2
536463,12,17.4,2
536464,151,265.1,2
536466,18,42.9,2
536477,94,206.26,2
536488,70,154.84,2
536500,102,223.9,2
536502,37,69.78999999999999,2
536514,6,17.700000000000003,2
536520,195,290.79,2
536521,1,4.95,2
536522,81,157.36,2
536523,112,203.3,2
536524,24,70.80000000000001,2
536525,27,110.74000000000001,2
536526,80,182.24,2
536527,156,243.48,2
536528,105,187.53,2
536529,31,77.45,2
536530,67,149.35,2
536531,251,454.89000000000004,0
536532,1022,1305.22,1
536533,28,53.5,2
536534,51,115.65,2
536535,71,194.85,2
536536,15,29.85,2
536537,64,223.4,2
536538,144,238.0,2
536539,155,426.3,2
536540,126,253.38,2
536541,12,15.0,2
536542,160,303.0,2
536544,1001,2930.7799999999997,1
536551,83,125.61,2
536555,2,2.9699999999999998,2
536556,70,90.6,2
536557,195,494.23,2
536559,81,159.95,2
536560,104,394.2,2
536561,140,322.40000000000003,2
536562,93,246.25,2
536563,56,103.2,2
536564,8,11.6,2
536565,2,6.7,2
536566,57,71.25,2
536567,132,251.40000000000003,2
536568,12,5.04,2
536569,143,211.35,2
536570,48,152.4,2
536571,188,254.29999999999998,2
536572,301,442.34999999999997,0
536573,28,21.8,2
536574,3,17.85,2
536576,40,100.4,2
536578,104,279.6,2
536580,66,97.2,2
536582,180,264.24,2
536586,28,105.0,2
536587,245,280.95,2
536588,103,277.05,2
536590,69,154.31,2
536591,65,149.22,2
536592,1230,3746.8,1
536593,19,81.75,2
536594,34,79.5,2
536595,48,145.75,2
536596,8,18.14,2
536597,70,92.84,2
536598,76,160.6,2
536599,28,136.2,2
536600,54,180.12,2
536601,12,22.2,2
536602,64,163.76,2
536603,12,22.2,2
536604,114,184.5,2
536605,107,272.65000000000003,2
536607,88,254.32000000000002,2
536608,30,38.1,2
536609,88,244.46,2
536610,12,22.2,2
536611,153,259.65000000000003,2
536612,82,206.76,2
536613,196,199.02,2
536614,12,22.2,2
536615,49,169.35000000000002,2
536617,104,340.8,2
536618,304,504.6,0
536619,12,45.0,2
536620,201,232.65,2
536621,82,95.3,2
536623,598,732.46,0
536624,224,566.84,0
536626,6,12.6,2
536627,53,181.35000000000002,2
536628,86,230.56,2
536629,12,22.2,2
536630,88,244.46,2
536631,12,22.2,2
536632,168,291.9,2
536633,101,161.15,2
536634,77,124.08,2
